"","Query Mass","Database Mass (neutral mass)","rt","Isotope","Adduct","Name","spectra","Biofluid","ENTRY","p.adj","p","Fisher.Test","Mean Class plasma","Mean Class plasma_ringer_palm","Median Class plasma","Median Class plasma_ringer_palm","plasma","plasma_ringer_palm","X1","X2","X3","X4","X5","X6","X7","X8"
"18",175.148,"174.136826","7.17","",""," Ne,Ne dimethyllysine ","4","Not Available","HMDB13287 ",0.227768040952605,0.227768040952605,NA,4579853.39316548,9352016.17734479,3023936.78554423,9644644.25027931,4,4,10505910.2506274,3081749.34409626,1765629.75094605,2966124.22699219,15844439.3923862,2274336.81643433,7773460.18695703,11515828.3136016
"19",184.1696,"Unknown","7.16","","","Unknown","4","unknown","unknown",0.240055389499389,0.240055389499389,NA,3763051.34882208,2624933.922697,3508852.933359,2427411.76257649,4,4,3253480.04197281,5501512.6707422,3764225.82474519,2532986.85782812,2967932.69408657,1480389.86270532,4164522.30292969,1886890.8310664
"20",193.1587,"Unknown","7.17","","","Unknown","4","unknown","unknown",0.229894434922053,0.229894434922053,NA,5529129.4856548,11300186.8064811,3597020.41029612,11830977.9129902,4,4,12737889.56536,3357432.36411567,2184587.55666695,3836608.45647657,19118833.3375464,2419958.06239769,10040767.0480195,13621188.777961
"21",211.1691,"Unknown","7.17","","[M+H]+ 210.162","Unknown","4","unknown","unknown",0.203679720555563,0.203679720555563,NA,3215223.78931036,7361309.99970396,2078994.42759625,8285889.46934181,3,4,8484532.5779806,2180446.77393077,218373.724068331,1977542.08126172,11747339.0803451,1126121.9797871,7546641.41203126,9025137.52665235
"22",222.156,"Unknown","7.16","","","Unknown","4","unknown","unknown",0.0279472760218731,0.0279472760218731,NA,6405341.25285717,3470789.09721198,5639778.56966197,3672856.6141706,4,3,5587112.57803489,8851575.08881041,5490232.78329431,5692444.56128906,3415929.82479411,3929783.40354709,2230786.50963562,4306656.65087111
"23",228.1958,"Unknown","7.17","","[M+NH4]+ 210.162 [M+H]+ 227.189","Unknown","4","unknown","unknown",0.227920123137516,0.227920123137516,NA,24445755.605366,47834105.0217044,16633937.3486662,51033513.6459764,4,4,53770944.9577902,16134040.9147386,10744202.7663414,17133833.7825938,77284730.7469949,11984662.0478698,40955239.7067655,61111787.5851873
"24",226.198,"Unknown","5.83","[11][M+1]+","","Unknown","1","unknown","unknown",0.694286096567648,0.694286096567648,NA,318648428.749568,402225871.815881,274803278.085916,253581859.068154,4,4,562377517.373014,162609641.453426,377181245.295962,172425310.875871,289576594.019072,924349599.515949,217587124.117236,177390169.611267
"25",236.0595,"Unknown","7.19","","[M+K]+ 197.091 [M+Na]+ 213.065 [M+NH4]+ 218.02 [M+H]+ 235.047","Unknown","4","unknown","unknown",0.933652047780583,0.933652047780583,NA,41581097.9184324,38390288.5009363,17279106.5228315,27489097.0468887,3,4,131289127.662896,22476403.2169546,12081809.8287085,477050.965170567,11311130.3942931,94359359.8142801,4223600.0956875,43667063.6994844
"26",247.2382,"Unknown","7.16","[21][M]+","[M+K]+ 208.276 [M+Na]+ 224.25 [M+NH4]+ 229.206 [M+H]+ 246.232","Unknown","4","unknown","unknown",0.0325240498329473,0.0325240498329473,NA,22436261.105542,8283852.11408861,20357192.8935463,7764280.08403438,4,2,18456653.075277,32418182.3959246,22257732.7118157,16612476.2391509,16652343.4268149,954504.861470759,3310082.38220546,12218477.7858633
"27",247.241,"Unknown","7.16","","[M+K]+ 208.276 [M+Na]+ 224.25 [M+NH4]+ 229.206 [M+H]+ 246.232","Unknown","4","unknown","unknown",0.403214974530727,0.403214974530727,NA,22271968.3742442,17711777.2147449,20282648.5979667,14979134.1911324,4,4,18376109.2765129,32005244.2218848,22189187.9194205,16517332.0791588,16708971.3228026,13249297.0594623,28492106.9444766,12396733.5322383
"28",248.2452,"Unknown","7.16","[21][M+1]+","","Unknown","4","unknown","unknown",0.456589746605996,0.456589746605996,NA,3357648.2091556,2618939.55709096,2968625.95395052,2321818.51715261,4,4,2740347.2546618,5220719.22636199,3196904.65323925,2272621.70235936,2709984.05952051,1933652.97478471,4438458.58809377,1393662.60596484
"29",250.1778,"Unknown","7.17","","[M+Na]+ 227.189","Unknown","4","unknown","unknown",0.33630166885956,0.33630166885956,NA,6134817.43007818,16683455.0177123,2143197.39049237,11594579.9323711,2,4,19721588.6569925,1408919.61003551,531286.282335458,2877475.17094922,41797687.8154412,1746972.39066588,10820744.8190039,12368415.0457383
